sha256,apt_group,c2,Subdomain,Domain
ca66b671a75bbee69a4a4d3000b45d5dc7d3891c7ee5891272ccb2c5aed5746c,apt 29,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
ca66b671a75bbee69a4a4d3000b45d5dc7d3891c7ee5891272ccb2c5aed5746c,apt2021,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
ca66b671a75bbee69a4a4d3000b45d5dc7d3891c7ee5891272ccb2c5aed5746c,nobelium,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
c4ff632696ec6e406388e1d42421b3cd3b5f79dcb2df67e2022d961d5f5a9e78,apt 29,http://hanproud.com:443/news_indexedimages_autrzd/,,hanproud
c4ff632696ec6e406388e1d42421b3cd3b5f79dcb2df67e2022d961d5f5a9e78,apt2021,http://hanproud.com:443/news_indexedimages_autrzd/,,hanproud
c4ff632696ec6e406388e1d42421b3cd3b5f79dcb2df67e2022d961d5f5a9e78,nobelium,http://hanproud.com:443/news_indexedimages_autrzd/,,hanproud
74202eed181e2b83dd0ab6f791a34a13bd94e63e86b82395f9443cb5aeddc891,apt 29,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
74202eed181e2b83dd0ab6f791a34a13bd94e63e86b82395f9443cb5aeddc891,apt2021,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
74202eed181e2b83dd0ab6f791a34a13bd94e63e86b82395f9443cb5aeddc891,nobelium,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
a4f1f09a2b9bc87de90891da6c0fca28e2f88fd67034648060cef9862af9a3bf,apt 29,http://139.99.167.177:443/jquery-3.3.1.min.js,,139.99.167.177
a4f1f09a2b9bc87de90891da6c0fca28e2f88fd67034648060cef9862af9a3bf,apt2021,http://139.99.167.177:443/jquery-3.3.1.min.js,,139.99.167.177
a4f1f09a2b9bc87de90891da6c0fca28e2f88fd67034648060cef9862af9a3bf,nobelium,http://139.99.167.177:443/jquery-3.3.1.min.js,,139.99.167.177
3b94cc71c325f9068105b9e7d5c9667b1de2bde85b7abc5b29ff649fd54715c4,apt 29,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
3b94cc71c325f9068105b9e7d5c9667b1de2bde85b7abc5b29ff649fd54715c4,apt2021,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
3b94cc71c325f9068105b9e7d5c9667b1de2bde85b7abc5b29ff649fd54715c4,nobelium,http://doggroomingnews.com:443/storage/main.woff2,,doggroomingnews
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt 29,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt 29,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt 29,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt 29,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt2021,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt2021,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt2021,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,apt2021,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,nobelium,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,nobelium,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,nobelium,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,nobelium,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt 29,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt 29,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt 29,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt 29,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt2021,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt2021,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt2021,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,apt2021,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,nobelium,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,nobelium,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,nobelium,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
7d34f25ad8099bd069c5a04799299f17d127a3866b77ee34ffb59cfd36e29673,nobelium,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt 29,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt 29,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt 29,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt 29,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt2021,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt2021,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt2021,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,apt2021,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,nobelium,http://cdn.theyardservice.com:443/jquery-3.3.1.min.woff2,cdn,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,nobelium,http://dataplane.theyardservice.com:443/jquery-3.3.1.min.woff2,dataplane,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,nobelium,http://static.theyardservice.com:443/jquery-3.3.1.min.woff2,static,theyardservice
ee42ddacbd202008bcc1312e548e1d9ac670dd3d86c999606a3a01d464a2a330,nobelium,http://worldhomeoutlet.com:443/jquery-3.3.1.min.woff2,,worldhomeoutlet
1ca4266f213da0a4cc42a8a9cb935d2e708a18537985a7fdcd767dd808706af2,apt2012,hint.zapto.org:3074,hint,zapto
1ca4266f213da0a4cc42a8a9cb935d2e708a18537985a7fdcd767dd808706af2,apt2012,hint1.zapto.org:3074,hint1,zapto
1ca4266f213da0a4cc42a8a9cb935d2e708a18537985a7fdcd767dd808706af2,apt2012,natco1.no-ip.net:3075,natco1,no-ip
02ae3920fd44b23de45db38a9f24cf312e0826c6249cd54b3043a534a15434da,apt2012,hint.zapto.org:3074,hint,zapto
02ae3920fd44b23de45db38a9f24cf312e0826c6249cd54b3043a534a15434da,apt2012,natco4.no-ip.net:3074,natco4,no-ip
11579b7905eafbd4ae7709bfaf880a2442ad37257ebccedd1c6675b6ac45bb0a,apt2012,helpme.no-ip.biz:3074,helpme,no-ip
8ff325ff588185415cda0ae5a62de2b8352e8d138b8db0ed568cad2dcebc4b64,apt2012,backtrack5.no-ip.info:2345,backtrack5,no-ip
b70e1f1746ad00181c386efcdfd36a817e328b47d513d0960a9f3ecd515d10d1,apt2012,lokia.mine.nu:50008,lokia,mine
b70e1f1746ad00181c386efcdfd36a817e328b47d513d0960a9f3ecd515d10d1,apt2012,natco2.no-ip.net:50008,natco2,no-ip
8a57b906e5c6a098439a55820c866b2171cf04584b85218cffb03e989e3ae531,apt2013,127.0.0.1:1604,,127.0.0.1
8a57b906e5c6a098439a55820c866b2171cf04584b85218cffb03e989e3ae531,apt2013,217.66.231.242:1604,,217.66.231.242
8a57b906e5c6a098439a55820c866b2171cf04584b85218cffb03e989e3ae531,transparent tribe,127.0.0.1:1604,,127.0.0.1
8a57b906e5c6a098439a55820c866b2171cf04584b85218cffb03e989e3ae531,transparent tribe,217.66.231.242:1604,,217.66.231.242
b948377fe2abe2ee5fa7939967185aef5b392fbc26d15c262d97ad1c21252ebe,apt2013,127.0.0.1:1604,,127.0.0.1
b948377fe2abe2ee5fa7939967185aef5b392fbc26d15c262d97ad1c21252ebe,apt2013,217.66.231.242:1604,,217.66.231.242
b948377fe2abe2ee5fa7939967185aef5b392fbc26d15c262d97ad1c21252ebe,transparent tribe,127.0.0.1:1604,,127.0.0.1
b948377fe2abe2ee5fa7939967185aef5b392fbc26d15c262d97ad1c21252ebe,transparent tribe,217.66.231.242:1604,,217.66.231.242
01edd4db4d3cbcc4b62b61eb5fb187f391041b6a8c81e87f42725f64a5176910,apt2014,basharalassad1.no-ip.biz:5010,basharalassad1,no-ip
01edd4db4d3cbcc4b62b61eb5fb187f391041b6a8c81e87f42725f64a5176910,syrian electronic army,basharalassad1.no-ip.biz:5010,basharalassad1,no-ip
495f7a6a1e4b7c9ff68a3c898dac56d38bbfc701c00f19d381425a9ae9fde998,apt2014,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
495f7a6a1e4b7c9ff68a3c898dac56d38bbfc701c00f19d381425a9ae9fde998,syrian electronic army,hhhhhkrufnrrrs1982.zapto.org:1177,hhhhhkrufnrrrs1982,zapto
