sampleid,key,kind,value
191012-sf96hc2jxj.json,rsa_pubkey,rsa_pubkey.plain,"-----BEGIN PUBLIC KEY-----
MHwwDQYJKoZIhvcNAQEBBQADawAwaAJhALk+KlHgOKXm9eDkWu2yN9lanjwOm6W2
PV0tgr4msNVby2pOJ6S1MZQnQwxl7y6WWzT4kveAQhLmW8JB2M2PDOxZOgVMJH2C
AtkVW1p/P9jNJWVvjK9SmrbLdIeiKNtRfQIDAQAB
-----END PUBLIC KEY-----
"
200806-shy9z2vyl6.json,key,rc4.plain,jYhz5VcscVh9Sy95ey5GJeOLZKpNCZUAFMt0RyLZroTMRbB
200806-shy9z2vyl6.json,key,rc4.plain,HXrA0oiMAmTgjHjqK867AJg9XmFnIdyYnyA89fK6bxgOqlLNP5JiVyZCltf
200811-8q4fq2yyya.json,req_key,rc4.i32,0x4e29ab2c
200811-8q4fq2yyya.json,http_key,rc4.i32,0x693d7eba
200901-rgcd9ac9t6.json,key,rc4.plain,jYhz5VcscVh9Sy95ey5GJeOLZKpNCZUAFMt0RyLZroTMRbB
200901-rgcd9ac9t6.json,key,rc4.plain,qmTODRQgz7NXji4n3O9PApN36REfbEBn6UMPoFBAXe5bKn3x5oRe4om2X2Q
201108-58smw7jr36.json,config,aes.plain,TptobGDWq1lq548yc7k7YkcxR22FzIil
201109-m1gtf412h2.json,config,aes.plain,
201109-qblhkr8l2n.json,key,rc4.plain,IZfMX3G6YNtcoc617J2ruClfjFOD9yEG8b4yTQ8ky
201109-qblhkr8l2n.json,key,rc4.plain,qjBfGtQC4l4gNFIjVetsLX3fmfTeGPBAtAsf0QbYyFppp2ef02laFFqr9WOeGXFqT
201113-rfx19pmtte.json,AES_key.RAW,AES_key,0f2a154d7c69ad154509b37bbe71177ccfacb08f6db5aa0186e335e96ee30386
210205-hjb4rw42a6.json,config,aes.plain,LdZBj5XnuNzNSpW8GJdXJ3s2e7hQu6sx
210212-rblb3kbkqj.json,config,aes.plain,LdZBj5XnuNzNSpW8GJdXJ3s2e7hQu6sx
210317-f5ppsg8dge.json,req_key,rc4.i32,0x9dd04d4a
210317-f5ppsg8dge.json,http_key,rc4.i32,0x53386bef
210327-1129ggnyde.json,req_key,rc4.i32,0x9dd04d4a
210327-1129ggnyde.json,http_key,rc4.i32,0x53386bef
210421-at2abbgasx.json,config,aes.plain,hknRKuBGFjkB6sZnbdg2jvsqElNu5O7p
210421-sgd3ljqpex.json,config,aes.plain,hknRKuBGFjkB6sZnbdg2jvsqElNu5O7p
210504-6aw2q8zsqe.json,config,aes.plain,WNvGP19TOk3tm5tnXq5CutYBLMcULEsk
210507-lnga3p1z1e.json,config,aes.plain,wVHJriMhTzAAGgTLo2tsMfZpXHAA6glS
210507-wph6fgxc3j.json,config,aes.plain,re1wVJgEKhdUWlpgqRx0dTbzivabKZGG
210531-yjrqfyrjze.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210601-x2l4fd778x.json,config,aes.plain,jbg9dRIOq1AGzwl8xmtPqGvO9dgNJ3ut
210602-bjn8t1gztj.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210603-m2py9rhgnn.json,config,aes.plain,jbg9dRIOq1AGzwl8xmtPqGvO9dgNJ3ut
210609-fzshpe3d5j.json,config,aes.plain,jbg9dRIOq1AGzwl8xmtPqGvO9dgNJ3ut
210609-mwtxgrcdsx.json,config,aes.plain,jbg9dRIOq1AGzwl8xmtPqGvO9dgNJ3ut
210610-cb6pq2yhrx.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210622-wdab59z8zj.json,config,aes.plain,jbg9dRIOq1AGzwl8xmtPqGvO9dgNJ3ut
210624-bdmswv26h6.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210624-h1m5pwqbyx.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210628-dew3qc1bds.json,config,aes.plain,jbg9dRIOq1AGzwl8xmtPqGvO9dgNJ3ut
210630-9hz66l11te.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210705-zt7cs4crka.json,config,aes.plain,11yCIHTR3E9fpsiaXStgmQy3mIl5u8YK
210713-d7r912nl1s.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210714-1l8lesn7s2.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210715-nzm6yvxl1s.json,config,aes.plain,mTo6k2HFbwkEky1jZAhGsmddHWMMlgEk
210720-5cqkd4tlh6.json,config,aes.plain,jbg9dRIOq1AGzwl8xmtPqGvO9dgNJ3ut
210720-5cqkd4tlh6.json,ecc_pubkey,ecc_pubkey.base64,RUNTMzAAAAAL/ZqmMPBLaRfg1hPOtFJrZz2Zi2/EC4B3fiX8VnaOUVKndBr+jEqWc7mw4v3ADTiwp64K5QKe1LZ27jUZxL4bWjxARPo85hv72nuedeZhRQ+adQQ/gIsV869MycRzghc=
210920-tbmfsahbhm.json,aes_key,aes.plain,gK1eFUnNeExazKvTMllMQ1G9u2AUDDaT
220113-ezj81afga4.json,aes_key,aes.plain,X4hrigfnBGN6cHW2TOo9bD1MpNNKAqJ3
220113-h9ja8sgde8.json,aes_key,aes.plain,SvofD8uZ2DfdralUGO7wz9yWKo9oNojY
220119-wdqx4acadk.json,aes_key,aes.plain,X4hrigfnBGN6cHW2TOo9bD1MpNNKAqJ3
